iter	Passed	Remaining
0	265	265134
1	279	139431
2	291	96809
3	305	76047
4	320	63821
5	338	56006
6	358	50795
7	369	45777
8	378	41653
9	388	38426
10	397	35721
11	406	33444
12	415	31559
13	424	29896
14	432	28400
15	440	27106
16	448	25928
17	456	24924
18	464	24002
19	474	23250
20	483	22556
21	492	21884
22	501	21293
23	510	20765
24	518	20230
25	526	19736
26	534	19253
27	543	18873
28	552	18490
29	560	18132
30	569	17804
31	576	17451
32	586	17181
33	595	16914
34	603	16650
35	612	16390
36	620	16143
37	629	15948
38	637	15705
39	646	15525
40	655	15328
41	664	15159
42	671	14949
43	680	14781
44	689	14632
45	697	14460
46	707	14338
47	715	14193
48	723	14041
49	731	13896
50	741	13794
51	749	13662
52	757	13539
53	765	13404
54	771	13262
55	782	13186
56	790	13073
57	798	12973
58	807	12873
59	815	12778
60	823	12674
61	834	12626
62	843	12547
63	852	12474
64	863	12423
65	874	12377
66	883	12301
67	894	12257
68	906	12225
69	918	12197
70	929	12158
71	940	12120
72	952	12092
73	969	12131
74	980	12091
75	991	12054
76	1004	12044
77	1014	11991
78	1027	11975
79	1039	11954
80	1051	11928
81	1063	11907
82	1074	11870
83	1085	11832
84	1096	11799
85	1107	11774
86	1119	11751
87	1130	11711
88	1141	11685
89	1153	11660
90	1165	11637
91	1176	11612
92	1187	11578
93	1202	11586
94	1213	11562
95	1224	11534
96	1237	11522
97	1248	11492
98	1259	11464
99	1270	11436
100	1282	11417
101	1293	11385
102	1304	11362
103	1324	11412
104	1336	11394
105	1349	11378
106	1360	11352
107	1369	11315
108	1379	11274
109	1387	11226
110	1399	11209
111	1410	11182
112	1420	11151
113	1432	11130
114	1442	11102
115	1454	11084
116	1467	11078
117	1479	11058
118	1489	11030
119	1500	11002
120	1512	10983
121	1525	10981
122	1540	10983
123	1552	10967
124	1562	10934
125	1575	10927
126	1587	10912
127	1599	10896
128	1611	10879
129	1622	10858
130	1634	10839
131	1645	10817
132	1656	10796
133	1667	10777
134	1679	10760
135	1691	10743
136	1702	10721
137	1712	10698
138	1724	10680
139	1752	10765
140	1764	10749
141	1774	10721
142	1786	10703
143	1797	10682
144	1808	10666
145	1821	10651
146	1831	10630
147	1849	10644
148	1862	10637
149	1874	10619
150	1887	10614
151	1904	10624
152	1918	10621
153	1930	10603
154	1945	10604
155	1956	10584
156	1967	10562
157	1983	10571
158	1996	10560
159	2009	10547
160	2022	10537
161	2030	10503
162	2041	10485
163	2051	10459
164	2064	10448
165	2073	10418
166	2082	10387
167	2090	10353
168	2100	10326
169	2110	10302
170	2120	10281
171	2129	10249
172	2136	10212
173	2143	10176
174	2151	10143
175	2159	10110
176	2167	10079
177	2175	10047
178	2186	10027
179	2196	10004
180	2206	9984
181	2216	9963
182	2224	9929
183	2231	9894
184	2244	9889
185	2255	9868
186	2263	9840
187	2271	9810
188	2278	9778
189	2288	9755
190	2296	9727
191	2304	9700
192	2318	9694
193	2329	9680
194	2339	9657
195	2350	9642
196	2359	9618
197	2369	9597
198	2378	9573
199	2385	9543
200	2394	9520
201	2403	9493
202	2412	9470
203	2422	9451
204	2430	9424
205	2438	9398
206	2446	9371
207	2454	9345
208	2463	9323
209	2472	9302
210	2481	9280
211	2490	9256
212	2498	9230
213	2507	9208
214	2514	9182
215	2525	9167
216	2533	9140
217	2541	9115
218	2548	9088
219	2556	9064
220	2565	9042
221	2575	9025
222	2583	9001
223	2591	8976
224	2599	8953
225	2607	8931
226	2618	8915
227	2626	8894
228	2635	8872
229	2644	8852
230	2652	8830
231	2662	8814
232	2672	8796
233	2680	8775
234	2689	8755
235	2696	8730
236	2706	8712
237	2716	8697
238	2727	8685
239	2739	8674
240	2747	8651
241	2756	8632
242	2765	8615
